"t";"iL";"iG";"iSd";"slope";"intercept"
9;3;1;0;702,207;7122,596
9;3;2;0;696,821;7147,422
9;3;3;0;697,753;7197,044
9;3;4;0;700,954;7251,863
9;3;5;0;703,838;7287,43
9;3;0;1;705,569;7077,728
9;3;1;1;697,904;7083,825
9;3;2;1;693,715;7109,174
9;3;3;1;695,713;7160,774
9;3;4;1;699,11;7221,36
9;3;5;1;701,58;7263,387
9;3;0;2;704,83;7023,414
9;3;1;2;696,808;7028,755
9;3;2;2;691,736;7052,129
9;3;3;2;693,162;7104,852
9;3;4;2;697,03;7172,444
9;3;5;2;699,815;7223,252
9;3;0;3;703,501;6911,149
9;3;1;3;695,377;6919,603
9;3;2;3;690,102;6953,922
9;3;3;3;691,348;7020,652
9;3;4;3;695,071;7097,094
9;3;5;3;697,838;7154,007
9;3;0;4;698,815;6789,65
9;3;1;4;690,746;6794,198
9;3;2;4;685,756;6818,218
9;3;3;4;687,744;6879,08
9;3;4;4;692,439;6960,395
9;3;5;4;695,968;7024,992
9;3;0;5;697,405;6746,763
9;3;1;5;689,329;6749,077
9;3;2;5;684,357;6767,222
9;3;3;5;686,354;6822,975
9;3;4;5;691,014;6905,024
9;3;5;5;694,494;6974,367
9;3;0;6;697,327;6748,205
9;3;1;6;689,233;6750,579
9;3;2;6;684,25;6768,347
9;3;3;6;686,233;6823,552
9;3;4;6;690,85;6905,517
9;3;5;6;694,259;6975,194
9;3;0;7;697,272;6750,805
9;3;1;7;689,182;6753,057
9;3;2;7;684,21;6770,668
9;3;3;7;686,201;6825,78
9;3;4;7;690,81;6907,773
9;3;5;7;694,198;6977,575
9;3;0;8;697,231;6751,66
9;3;1;8;689,141;6753,91
9;3;2;8;684,17;6771,521
9;3;3;8;686,16;6826,633
9;3;4;8;690,769;6908,626
9;3;5;8;694,157;6978,429
9;4;0;0;709,547;7118,362
9;4;1;0;702,94;7131,003
9;4;2;0;701,16;7168,719
9;4;3;0;704,273;7223,053
9;4;4;0;707,964;7271,246
9;4;5;0;711,277;7297,525
9;4;0;1;704,993;7079,181
9;4;1;1;699,179;7092,107
9;4;2;1;698,644;7130,9
9;4;3;1;702,34;7189,456
9;4;4;1;705,785;7245,013
9;4;5;1;708,688;7277,053
9;4;0;2;704,112;7024,811
9;4;1;2;697,751;7036,134
9;4;2;2;696,32;7073,488
9;4;3;2;699,914;7136,827
9;4;4;2;703,869;7201,695
9;4;5;2;706,709;7243,672
9;4;0;3;702,777;6913,653
9;4;1;3;696,228;6931,454
9;4;2;3;694,542;6983,237
9;4;3;3;697,898;7058,518
9;4;4;3;701,7;7131,393
9;4;5;3;704,554;7178,283
9;4;0;4;698,108;6790,421
9;4;1;4;691,676;6801,375
9;4;2;4;690,466;6843,031
9;4;3;4;694,686;6918,772
9;4;4;4;699,401;6999,318
9;4;5;4;702,811;7058,419
9;4;0;5;696,733;6747,167
9;4;1;5;690,324;6754,569
9;4;2;5;689,149;6789,92
9;4;3;5;693,351;6863,362
9;4;4;5;697,939;6947,51
9;4;5;5;701,275;7014,403
9;4;0;6;696,556;6749,044
9;4;1;6;690,135;6756,207
9;4;2;6;688,942;6790,767
9;4;3;6;693,095;6863,698
9;4;4;6;697,597;6948,076
9;4;5;6;700,871;7015,536
9;4;0;7;696,499;6750,94
9;4;1;7;690,079;6758,074
9;4;2;7;688,871;6792,712
