epoch;t;section;numPigs;weight;growth;sd;opt;totalCull;cycleNum;truckNum
0;0;0;360;26.4;5;3;0;0;0;0
0;0;1;360;26.4;5.8;3;0;0;0;0
0;0;2;360;26.4;6.6;3;0;0;0;0
1;1;0;360;31.3;4.96;3.15;0;0;0;0
1;1;1;360;31.6;5.84;3.2;0;0;0;0
1;1;2;360;33;6.68;3.25;0;0;0;0
2;2;0;360;36;4.88;3.65;0;0;0;0
2;2;1;360;36.9;5.88;3.65;0;0;0;0
2;2;2;360;39.5;6.6;3.65;0;0;0;0
3;3;0;360;41.1;4.88;4.15;0;0;0;0
3;3;1;360;43.4;5.88;4.1;0;0;0;0
3;3;2;360;46.4;6.68;4.15;0;0;0;0
4;4;0;360;46;5;4.65;0;0;0;0
4;4;1;360;48.9;5.8;4.6;0;0;0;0
4;4;2;360;53.8;6.64;4.65;0;0;0;0
5;5;0;360;51;5.08;5.15;0;0;0;0
5;5;1;360;54.7;5.92;5.1;0;0;0;0
5;5;2;360;60.1;6.64;5.15;0;0;0;0
6;6;0;360;56.1;5.12;5.65;0;0;0;0
6;6;1;360;60.2;6;5.6;0;0;0;0
6;6;2;360;66.2;6.64;5.65;0;0;0;0
7;7;0;360;61.6;5.04;6.15;0;0;0;0
7;7;1;360;66.3;6.08;6.1;0;0;0;0
7;7;2;360;72.5;6.72;6.15;0;0;0;0
8;8;0;360;67.6;5.12;6.7;90;408;0;4
8;8;1;360;72.8;6.12;6.75;134;408;0;4
8;8;2;360;78.9;6.44;6.75;184;408;0;4
9;9;0;270;73.3;5.2;7.2;51;169;0;2
9;9;1;226;78.9;6.28;7.3;58;169;0;2
9;9;2;177;85.4;6.36;7.3;60;169;0;2
10;10;0;219;79.8;5.12;7.7;47;102;0;1
10;10;1;168;85.2;6.4;7.8;32;102;0;1
10;10;2;117;91.7;6.44;7.9;23;102;0;1
11;11;0;172;86.3;4.96;8.25;49;188;0;2
11;11;1;136;92.1;6.4;8.3;45;188;0;2
11;11;2;94;98.4;6.44;8.5;94;188;0;2
12;12;0;123;92.4;5.08;8.85;11;102;0;1
12;12;1;91;99.1;6.32;8.95;91;102;0;1
12;0;2;360;26.4;6.6;3;0;102;1;1
13;13;0;112;99.1;5.16;9.4;112;112;0;1
13;0;1;360;26.4;6.6;3;0;112;1;1
13;1;2;360;32.7;6.72;3.1;0;112;1;1
14;0;0;360;26.4;6.6;3;0;0;1;0
14;1;1;360;32.8;6.56;3.25;0;0;1;0
14;2;2;360;40;6.84;3.55;0;0;1;0
15;1;0;360;32.8;6.68;3.1;0;0;1;0
15;2;1;360;39.4;6.52;3.6;0;0;1;0
15;3;2;360;46.1;6.88;4.05;0;0;1;0
16;2;0;360;39.4;6.8;3.55;0;0;1;0
16;3;1;360;45.2;6.56;4.05;0;0;1;0
16;4;2;360;53.1;6.92;4.55;0;0;1;0
17;3;0;360;45.7;6.72;4.05;0;0;1;0
17;4;1;360;51.9;6.48;4.55;0;0;1;0
17;5;2;360;60;6.92;5.05;0;0;1;0
18;4;0;360;52.6;6.6;4.55;0;0;1;0
18;5;1;360;58;6.48;5.05;0;0;1;0
18;6;2;360;67.2;6.8;5.55;0;0;1;0
19;5;0;360;58.5;6.6;5.05;0;0;1;0
19;6;1;360;64;6.56;5.55;0;0;1;0
19;7;2;360;74.3;6.76;6.05;0;0;1;0
20;6;0;360;65.2;6.56;5.55;0;204;1;2
20;7;1;360;71.1;6.48;6.05;0;204;1;2
20;8;2;360;81.3;6.76;6.7;204;204;1;2
21;7;0;360;71.4;6.6;6.05;0;204;1;2
21;8;1;360;77.4;6.52;6.8;165;204;1;2
21;9;2;156;88.3;6.76;7.3;39;204;1;2
22;8;0;360;78.6;6.6;6.65;189;373;1;4
22;9;1;195;84;6.48;7.5;67;373;1;4
22;10;2;117;95.1;6.8;7.9;117;373;1;4
23;9;0;171;85.4;6.52;7.25;52;86;1;1
23;10;1;128;90.7;6.32;8;34;86;1;1
23;0;2;360;26.4;6.6;3;0;86;2;1
24;10;0;119;91.3;6.64;7.85;35;62;1;1
24;11;1;94;97.7;6.44;8.65;27;62;1;1
24;1;2;360;33.2;6.4;3.15;0;62;2;1
25;11;0;84;97.9;6.68;8.45;84;151;1;2
25;12;1;67;104.9;6.44;9.15;67;151;1;2
25;2;2;360;39.5;6.44;3.6;0;151;2;2
26;0;0;360;26.4;6.6;3;0;0;2;0
26;0;1;360;26.4;6.6;3;0;0;2;0
26;3;2;360;45.9;6.44;4.1;0;0;2;0
27;1;0;360;33.4;6.64;3.3;0;0;2;0
27;1;1;360;32.7;6.6;2.9;0;0;2;0
27;4;2;360;52.4;6.44;4.55;0;0;2;0
28;2;0;360;41;6.68;3.65;0;0;2;0
28;2;1;360;39.5;6.72;3.3;0;0;2;0
28;5;2;360;58.2;6.32;5.05;0;0;2;0
29;3;0;360;48.2;6.72;4.15;0;0;2;0
29;3;1;360;46.4;6.76;3.75;0;0;2;0
29;6;2;360;64.3;6.28;5.55;0;0;2;0
30;4;0;360;54.9;6.84;4.6;0;0;2;0
30;4;1;360;52.8;6.8;4.25;0;0;2;0
30;7;2;360;70.9;6.32;6.05;0;0;2;0
31;5;0;360;61.5;6.92;5.1;0;192;2;2
31;5;1;360;59.2;6.76;4.75;0;192;2;2
31;8;2;360;78;6.28;6.65;192;192;2;2
32;6;0;360;68.4;7.08;5.6;0;39;2;1
32;6;1;360;66;6.84;5.25;0;39;2;1
32;9;2;168;84.1;6.4;7.25;39;39;2;1
33;7;0;360;75.9;7.04;6.1;0;37;2;1
33;7;1;360;72.4;6.72;5.75;0;37;2;1
33;10;2;129;90.9;6.48;7.9;37;37;2;1
34;8;0;360;83.3;7;6.7;227;510;2;5
34;8;1;360;79.3;6.8;6.25;191;510;2;5
34;11;2;92;97.7;6.48;8.45;92;510;2;5
35;9;0;133;90.4;7;7.2;42;102;2;1
35;9;1;169;86.7;6.8;6.8;60;102;2;1
35;0;2;360;26.4;6.6;3;0;102;3;1
36;10;0;91;97.2;7.04;7.75;91;102;2;1
36;10;1;109;92.6;6.8;7.4;11;102;2;1
36;1;2;360;33;6.68;3.1;0;102;3;1
37;0;0;360;26.4;6.6;3;0;98;3;1
37;11;1;98;99.2;6.68;7.95;98;98;2;1
37;2;2;360;39.9;6.56;3.55;0;98;3;1
38;1;0;360;33.6;6.52;3.3;0;0;3;0
38;0;1;360;26.4;6.6;3;0;0;3;0
38;3;2;360;46.7;6.48;4;0;0;3;0
39;2;0;360;40.2;6.52;3.6;0;0;3;0
39;1;1;360;32.5;6.56;3.1;0;0;3;0
39;4;2;360;53.1;6.44;4.5;0;0;3;0
40;3;0;360;46.7;6.68;4.05;0;0;3;0
40;2;1;360;38.7;6.64;3.5;0;0;3;0
40;5;2;360;59.6;6.52;5;0;0;3;0
41;4;0;360;53;6.84;4.55;0;0;3;0
41;3;1;360;45.6;6.64;4;0;0;3;0
41;6;2;360;66.5;6.44;5.5;0;0;3;0
42;5;0;360;59.3;6.84;5.05;0;0;3;0
42;4;1;360;51.8;6.76;4.5;0;0;3;0
42;7;2;360;72.9;6.4;6;0;0;3;0
43;6;0;360;66.4;6.8;5.55;0;203;3;2
43;5;1;360;59.1;6.68;5;0;203;3;2
43;8;2;360;79.4;6.36;6.6;203;203;3;2
44;7;0;360;73.2;6.76;6.05;0;43;3;1
44;6;1;360;65.5;6.6;5.5;0;43;3;1
44;9;2;157;85.8;6.32;7.1;43;43;3;1
45;8;0;360;79.8;6.76;6.85;183;204;3;2
45;7;1;360;71.8;6.64;6;0;204;3;2
45;10;2;114;92.6;6.24;7.65;21;204;3;2
46;9;0;177;86.4;6.92;7.4;41;306;3;3
46;8;1;360;78.5;6.6;6.65;172;306;3;3
46;11;2;93;98.7;6.28;8.15;93;306;3;3
47;10;0;136;93.5;6.92;8;46;102;3;1
47;9;1;188;85.5;6.48;7.25;56;102;3;1
47;0;2;360;26.4;6.6;3;0;102;4;1
48;11;0;90;100.5;6.96;8.55;90;136;3;2
48;10;1;132;91.6;6.52;7.8;46;136;3;2
48;1;2;360;33.7;6.6;3.3;0;136;4;2
49;0;0;360;26.4;6.6;3;0;86;4;1
49;11;1;86;98.2;6.52;8.4;86;86;3;1
49;2;2;360;40.3;6.64;3.65;0;86;4;1
50;1;0;360;33;6.52;3.1;0;0;4;0
50;0;1;360;26.4;6.6;3;0;0;4;0
50;3;2;360;47.4;6.6;4.15;0;0;4;0
51;2;0;360;40.5;6.44;3.6;0;0;4;0
51;1;1;360;33.6;6.52;3.25;0;0;4;0
51;4;2;360;54.4;6.64;4.65;0;0;4;0
52;3;0;360;47.1;6.4;4.1;0;0;4;0
52;2;1;360;39.9;6.52;3.55;0;0;4;0
52;5;2;360;61.4;6.52;5.15;0;0;4;0
53;4;0;360;53.9;6.32;4.6;0;0;4;0
53;3;1;360;46.7;6.48;4;0;0;4;0
53;6;2;360;67.6;6.56;5.65;0;0;4;0
54;5;0;360;60.3;6.4;5.1;0;0;4;0
54;4;1;360;52.8;6.52;4.5;0;0;4;0
54;7;2;360;73.9;6.64;6.15;0;0;4;0
55;6;0;360;67.4;6.36;5.6;0;204;4;2
55;5;1;360;59.2;6.48;5;0;204;4;2
55;8;2;360;80.8;6.64;6.75;204;204;4;2
56;7;0;360;73.8;6.48;6.1;0;52;4;1
56;6;1;360;65.2;6.4;5.5;0;52;4;1
56;9;2;156;87.9;6.6;7.4;52;52;4;1
57;8;0;360;80.8;6.52;7;202;306;4;3
57;7;1;360;71.6;6.44;6;0;306;4;3
57;10;2;104;94.5;6.44;8;104;306;4;3
58;9;0;158;88;6.52;7.6;38;204;4;2
58;8;1;360;77.5;6.56;6.65;166;204;4;2
58;0;2;360;26.4;6.6;3;0;204;5;2
59;10;0;120;94.4;6.48;8.3;45;102;4;1
59;9;1;195;83.8;6.72;7.2;57;102;4;1
59;1;2;360;33.1;6.64;3.15;0;102;5;1
60;11;0;75;100.5;6.48;8.95;75;102;4;1
60;10;1;138;90.3;6.84;7.95;27;102;4;1
60;2;2;360;39.2;6.68;3.4;0;102;5;1
61;0;0;360;26.4;6.6;3;0;45;5;1
61;11;1;111;97.2;6.76;8.65;45;45;4;1
61;3;2;360;45.8;6.76;3.9;0;45;5;1
62;1;0;360;32.8;6.56;2.95;0;66;5;1
62;12;1;66;103.8;6.64;9.3;66;66;4;1
62;4;2;360;52.6;6.68;4.4;0;66;5;1
63;2;0;360;39.1;6.6;3.35;0;0;5;0
63;0;1;360;26.4;6.6;3;0;0;5;0
63;5;2;360;59.2;6.8;4.9;0;0;5;0
64;3;0;360;45.6;6.68;3.8;0;0;5;0
64;1;1;360;33.3;6.52;3.2;0;0;5;0
64;6;2;360;66;6.88;5.4;0;0;5;0
65;4;0;360;52.3;6.76;4.3;0;0;5;0
65;2;1;360;39.4;6.52;3.65;0;0;5;0
65;7;2;360;72.8;6.96;5.9;0;0;5;0
66;5;0;360;59.2;6.84;4.8;0;201;5;2
66;3;1;360;46.2;6.4;4.05;0;201;5;2
66;8;2;360;79.9;6.96;6.6;201;201;5;2
67;6;0;360;66.1;6.72;5.3;0;47;5;1
67;4;1;360;52.5;6.36;4.55;0;47;5;1
67;9;2;159;87.3;6.96;7.3;47;47;5;1
68;7;0;360;72.9;6.76;5.8;0;43;5;1
68;5;1;360;59;6.36;5.05;0;43;5;1
68;10;2;112;94.7;6.92;7.95;43;43;5;1
69;8;0;360;79.4;6.6;6.4;196;265;5;3
69;6;1;360;65.2;6.32;5.55;0;265;5;3
69;11;2;69;101.4;6.8;8.55;69;265;5;3
70;9;0;164;85.9;6.72;6.95;48;48;5;1
70;7;1;360;71.6;6.4;6.05;0;48;5;1
70;0;2;360;26.4;6.6;3;0;48;6;1
71;10;0;116;92.2;6.64;7.55;27;204;5;2
71;8;1;360;78.2;6.48;6.75;177;204;5;2
71;1;2;360;33;6.64;3.15;0;204;6;2
72;11;0;89;98.8;6.56;8.1;89;146;5;2
72;9;1;183;84.2;6.52;7.3;57;146;5;2
72;2;2;360;39.4;6.56;3.6;0;146;6;2
73;0;0;360;26.4;6.6;3;0;35;6;1
73;10;1;126;90.3;6.32;7.95;35;35;5;1
73;3;2;360;46.4;6.72;4.1;0;35;6;1
74;1;0;360;33.2;6.68;3.2;0;91;6;1
74;11;1;91;96.7;6.32;8.6;91;91;5;1
74;4;2;360;53.8;6.64;4.6;0;91;6;1
75;2;0;360;39.6;6.72;3.5;0;0;6;0
75;0;1;360;26.4;6.6;3;0;0;6;0
75;5;2;360;61.1;6.68;5.1;0;0;6;0
76;3;0;360;46.6;6.64;3.95;0;0;6;0
76;1;1;360;33.1;6.68;3.2;0;0;6;0
76;6;2;360;67.9;6.64;5.6;0;0;6;0
77;4;0;360;52.8;6.76;4.45;0;0;6;0
77;2;1;360;40.1;6.8;3.5;0;0;6;0
77;7;2;360;73.8;6.56;6.1;0;0;6;0
78;5;0;360;59.8;6.68;4.95;0;204;6;2
78;3;1;360;46.6;6.88;3.95;0;204;6;2
78;8;2;360;79.8;6.4;6.75;204;204;6;2
79;6;0;360;66;6.56;5.45;0;40;6;1
79;4;1;360;53.6;6.8;4.45;0;40;6;1
79;9;2;156;86.6;6.44;7.55;40;40;6;1
80;7;0;360;72.5;6.4;5.95;0;39;6;1
80;5;1;360;60.6;6.72;4.95;0;39;6;1
80;10;2;116;93.1;6.44;8.1;39;39;6;1
81;8;0;360;78.8;6.48;6.5;199;276;6;3
81;6;1;360;67.4;6.56;5.45;0;276;6;3
81;11;2;77;99.2;6.36;8.65;77;276;6;3
82;9;0;161;85.1;6.56;7.1;45;45;6;1
82;7;1;360;74.4;6.44;5.95;0;45;6;1
82;0;2;360;26.4;6.6;3;0;45;7;1
83;10;0;116;91.3;6.56;7.65;32;246;6;3
83;8;1;360;81;6.44;6.65;214;246;6;3
83;1;2;360;33;6.64;3.2;0;246;7;3
84;11;0;84;97.8;6.56;8.25;84;102;6;1
84;9;1;146;87.1;6.52;7.3;18;102;6;1
84;2;2;360;39;6.68;3.7;0;102;7;1
85;0;0;360;26.4;6.6;3;0;53;7;1
85;10;1;128;93.6;6.56;7.95;53;53;6;1
85;3;2;360;45.3;6.68;4.1;0;53;7;1
86;1;0;360;32.9;6.6;3.35;0;75;7;1
86;11;1;75;100.2;6.56;8.6;75;75;6;1
86;4;2;360;52.2;6.68;4.6;0;75;7;1
87;2;0;360;39.3;6.6;3.8;0;0;7;0
87;0;1;360;26.4;6.6;3;0;0;7;0
87;5;2;360;58.4;6.8;5.1;0;0;7;0
88;3;0;360;45.9;6.64;4.2;0;0;7;0
88;1;1;360;32.9;6.64;3.15;0;0;7;0
88;6;2;360;65.3;6.76;5.6;0;0;7;0
89;4;0;360;52.2;6.68;4.65;0;0;7;0
89;2;1;360;39;6.6;3.4;0;0;7;0
89;7;2;360;71.9;6.8;6.1;0;0;7;0
90;5;0;360;59.1;6.8;5.15;0;189;7;2
90;3;1;360;45.5;6.52;3.9;0;189;7;2
90;8;2;360;78.6;7.04;6.7;189;189;7;2
91;6;0;360;66;6.6;5.65;0;48;7;1
91;4;1;360;52.2;6.44;4.4;0;48;7;1
91;9;2;171;85.5;7.04;7.4;48;48;7;1
92;7;0;360;72.7;6.52;6.15;0;41;7;1
92;5;1;360;58.7;6.52;4.85;0;41;7;1
92;10;2;123;92.4;6.96;7.95;41;41;7;1
93;8;0;360;79.2;6.48;6.7;203;285;7;3
93;6;1;360;66.3;6.52;5.35;0;285;7;3
93;11;2;82;98.4;6.92;8.65;82;285;7;3
94;9;0;157;85.7;6.56;7.25;41;41;7;1
94;7;1;360;72.3;6.48;5.85;0;41;7;1
94;0;2;360;26.4;6.6;3;0;41;8;1
95;10;0;116;92.1;6.64;7.8;21;204;7;2
95;8;1;360;79.3;6.48;6.4;183;204;7;2
95;1;2;360;32.7;6.48;3.35;0;204;8;2
96;11;0;95;98.2;6.68;8.3;95;159;7;2
96;9;1;177;85.8;6.56;6.9;64;159;7;2
96;2;2;360;39;6.44;3.75;0;159;8;2
97;0;0;360;26.4;6.6;3;0;32;8;1
97;10;1;113;92.2;6.6;7.4;32;32;7;1
97;3;2;360;45.8;6.36;4.2;0;32;8;1
98;1;0;360;33.1;6.6;3.1;0;81;8;1
98;11;1;81;98.6;6.68;7.9;81;81;7;1
98;4;2;360;52;6.52;4.65;0;81;8;1
99;2;0;360;39.6;6.52;3.5;0;0;8;0
99;0;1;360;26.4;6.6;3;0;0;8;0
99;5;2;360;58.4;6.56;5.15;0;0;8;0
100;3;0;360;46;6.4;3.95;0;0;8;0
100;1;1;360;33.2;6.64;2.95;0;0;8;0
100;6;2;360;65.5;6.52;5.65;0;0;8;0
101;4;0;360;52.3;6.52;4.4;0;0;8;0
101;2;1;360;39.5;6.6;3.45;0;0;8;0
101;7;2;360;72;6.44;6.15;0;0;8;0
102;5;0;360;58.4;6.6;4.9;0;196;8;2
102;3;1;360;46.4;6.56;3.9;0;196;8;2
102;8;2;360;78.6;6.4;6.8;196;196;8;2
103;6;0;360;65.1;6.6;5.4;0;46;8;1
